Depth (ft),Cone resistance (tsf),Sleeve friction (tsf),Pore pressure u2 (psi)
0,2.83376720292352,0.276818603809972,0
0.0328083989501312,2.83376720292352,0.276818603809972,0
0.0656167979002625,2.83376720292352,0.276818603809972,0
0.0984251968503937,2.83376720292352,0.276818603809972,0
0.131233595800525,2.83376720292352,0.276818603809972,0
0.164041994750656,2.83376720292352,0.276818603809972,0
0.196850393700787,2.83376720292352,0.276818603809972,0
0.229658792650919,2.83376720292352,0.276818603809972,0
0.26246719160105,2.83376720292352,0.276818603809972,0
0.295275590551181,2.83376720292352,0.276818603809972,0
0.328083989501312,2.83376720292352,0.276818603809972,0
0.360892388451444,2.83376720292352,0.276818603809972,0
0.393700787401575,2.83376720292352,0.276818603809972,0
0.426509186351706,2.83376720292352,0.276818603809972,0
0.459317585301837,2.83376720292352,0.276818603809972,0
0.492125984251968,2.83376720292352,0.276818603809972,0
0.5249343832021,2.83376720292352,0.276818603809972,0
0.557742782152231,2.83376720292352,0.276818603809972,0
0.590551181102362,2.83376720292352,0.276818603809972,0
0.623359580052493,2.83376720292352,0.276818603809972,0
0.656167979002625,2.83376720292352,0.276818603809972,0
0.688976377952756,2.83376720292352,0.276818603809972,0
0.721784776902887,2.83376720292352,0.276818603809972,0
0.754593175853018,2.83376720292352,0.276818603809972,0
0.78740157480315,2.83376720292352,0.276818603809972,0
0.820209973753281,2.83376720292352,0.276818603809972,0
0.853018372703412,2.83376720292352,0.276818603809972,0
0.885826771653543,2.83376720292352,0.276818603809972,0
0.918635170603675,2.83376720292352,0.276818603809972,0
0.951443569553806,2.83376720292352,0.276818603809972,0
0.984251968503937,2.83376720292352,0.276818603809972,0
1.01706036745407,2.83376720292352,0.276818603809972,0
1.0498687664042,2.83376720292352,0.276818603809972,0
1.08267716535433,2.83376720292352,0.276818603809972,0
1.11548556430446,2.83376720292352,0.276818603809972,0
1.14829396325459,2.83376720292352,0.276818603809972,0
1.18110236220472,2.83376720292352,0.276818603809972,0
1.21391076115486,2.83376720292352,0.276818603809972,0
1.24671916010499,2.83376720292352,0.276818603809972,0
1.27952755905512,2.83376720292352,0.276818603809972,0
1.31233595800525,2.83376720292352,0.276818603809972,0
1.34514435695538,2.83376720292352,0.276818603809972,0
1.37795275590551,2.83376720292352,0.276818603809972,0
1.41076115485564,2.83376720292352,0.276818603809972,0
1.44356955380577,2.83376720292352,0.276818603809972,0
1.47637795275591,2.83376720292352,0.276818603809972,0
1.50918635170604,2.83376720292352,0.276818603809972,0
1.54199475065617,2.83376720292352,0.276818603809972,0
1.5748031496063,2.83376720292352,0.276818603809972,0
1.60761154855643,2.83376720292352,0.276818603809972,0
1.64041994750656,2.83376720292352,0.276818603809972,0
1.67322834645669,2.83376720292352,0.276818603809972,0
1.70603674540682,2.83376720292352,0.276818603809972,0
1.73884514435696,2.83376720292352,0.276818603809972,0
1.77165354330709,2.83376720292352,0.276818603809972,0
1.80446194225722,2.83376720292352,0.276818603809972,0
1.83727034120735,2.83376720292352,0.276818603809972,0
1.87007874015748,2.83376720292352,0.276818603809972,0
1.90288713910761,2.83376720292352,0.276818603809972,0
1.93569553805774,2.83376720292352,0.276818603809972,0
1.96850393700787,2.83376720292352,0.276818603809972,0
2.001312335958,2.83376720292352,0.276818603809972,0
2.03412073490814,2.83376720292352,0.276818603809972,0
2.06692913385827,2.83376720292352,0.276818603809972,0
2.0997375328084,2.83376720292352,0.276818603809972,0
2.13254593175853,2.83376720292352,0.276818603809972,0
2.16535433070866,2.83376720292352,0.276818603809972,0
2.19816272965879,2.83376720292352,0.276818603809972,0
2.23097112860892,2.83376720292352,0.276818603809972,0
2.26377952755906,2.83376720292352,0.276818603809972,0
2.29658792650919,2.83376720292352,0.276818603809972,0
2.32939632545932,2.83376720292352,0.276818603809972,0
2.36220472440945,2.83376720292352,0.276818603809972,0
2.39501312335958,2.83376720292352,0.276818603809972,0
2.42782152230971,2.83376720292352,0.276818603809972,0
2.46062992125984,2.83376720292352,0.276818603809972,0
2.49343832020997,2.83376720292352,0.276818603809972,0
2.5262467191601,2.83376720292352,0.276818603809972,0
2.55905511811024,2.83376720292352,0.276818603809972,0
2.59186351706037,2.83376720292352,0.276818603809972,0
2.6246719160105,2.83376720292352,0.276818603809972,0
2.65748031496063,2.83376720292352,0.276818603809972,0
2.69028871391076,2.83376720292352,0.276818603809972,0
2.72309711286089,2.83376720292352,0.276818603809972,0
2.75590551181102,2.83376720292352,0.276818603809972,0
2.78871391076115,2.83376720292352,0.276818603809972,0
2.82152230971129,2.83376720292352,0.276818603809972,0
2.85433070866142,2.83376720292352,0.276818603809972,0
2.88713910761155,2.83376720292352,0.276818603809972,0
2.91994750656168,2.83376720292352,0.276818603809972,0
2.95275590551181,2.83376720292352,0.276818603809972,0
2.98556430446194,2.83376720292352,0.276818603809972,0
3.01837270341207,2.83376720292352,0.276818603809972,0
3.0511811023622,2.83376720292352,0.276818603809972,0
3.08398950131234,2.83376720292352,0.276818603809972,0
3.11679790026247,2.83376720292352,0.276818603809972,0
3.1496062992126,2.83376720292352,0.276818603809972,0
3.18241469816273,2.83376720292352,0.276818603809972,0
3.21522309711286,2.83376720292352,0.276818603809972,0
3.24803149606299,2.83376720292352,0.276818603809972,0
3.28083989501312,2.83376720292352,0.276818603809972,0
3.31364829396325,2.83376720292352,0.276818603809972,0
3.34645669291339,2.83376720292352,0.276818603809972,0
3.37926509186352,2.83376720292352,0.276818603809972,0
3.41207349081365,2.83376720292352,0.276818603809972,0
3.44488188976378,2.83376720292352,0.276818603809972,0
3.47769028871391,2.83376720292352,0.276818603809972,0
3.51049868766404,2.83376720292352,0.276818603809972,0
3.54330708661417,2.83376720292352,0.276818603809972,0
3.5761154855643,2.83376720292352,0.276818603809972,0
3.60892388451444,2.83376720292352,0.276818603809972,0
3.64173228346457,2.83376720292352,0.276818603809972,0
3.6745406824147,2.83376720292352,0.276818603809972,0
3.70734908136483,2.83376720292352,0.276818603809972,0
3.74015748031496,2.83376720292352,0.276818603809972,0
3.77296587926509,2.83376720292352,0.276818603809972,0
3.80577427821522,2.83376720292352,0.276818603809972,0
3.83858267716535,2.83376720292352,0.276818603809972,0
3.87139107611549,2.83376720292352,0.276818603809972,0
3.90419947506562,2.83376720292352,0.276818603809972,0
3.93700787401575,2.83376720292352,0.276818603809972,0
3.96981627296588,2.83376720292352,0.276818603809972,0
4.00262467191601,2.83376720292352,0.276818603809972,0
4.03543307086614,2.83376720292352,0.276818603809972,0
4.06824146981627,2.83376720292352,0.276818603809972,0
4.1010498687664,2.83376720292352,0.276818603809972,0
4.13385826771654,2.83376720292352,0.276818603809972,0
4.16666666666667,2.83376720292352,0.276818603809972,0
4.1994750656168,2.83376720292352,0.276818603809972,0
4.23228346456693,2.83376720292352,0.276818603809972,0
4.26509186351706,2.83376720292352,0.276818603809972,0
